title,url,pdf_url,doi,arxiv_id
"Evaluating and Guarding Citation Faithfulness in Agentic Scientific Synthesis","https://arxiv.org/abs/2607.20527","https://arxiv.org/pdf/2607.20527.pdf","10.48550/arXiv.2607.20527","2607.20527"
"Rethinking Retrieval-Augmented Generation for Medicine: A Large-Scale, Systematic Expert Evaluation and Practical Insights","https://arxiv.org/abs/2511.06738","https://arxiv.org/pdf/2511.06738.pdf","10.48550/arXiv.2511.06738","2511.06738"
"Language agents achieve superhuman synthesis of scientific knowledge","https://arxiv.org/abs/2409.13740","https://arxiv.org/pdf/2409.13740.pdf","10.48550/arXiv.2409.13740","2409.13740"
"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection","https://arxiv.org/abs/2310.11511","https://arxiv.org/pdf/2310.11511.pdf","10.48550/arXiv.2310.11511","2310.11511"
"Corrective Retrieval Augmented Generation","https://arxiv.org/abs/2401.15884","https://arxiv.org/pdf/2401.15884.pdf","10.48550/arXiv.2401.15884","2401.15884"
