title,url,pdf_url,doi,arxiv_id,saved_path,download_url,status,message
Tiny-Critic RAG: Empowering Agentic Fallback with Parameter-Efficient Small Language Models,https://arxiv.org/abs/2603.00846,https://arxiv.org/pdf/2603.00846.pdf,10.48550/arXiv.2603.00846,2603.00846,D:\工作内容\医疗Agent\research\evidence-chain-2026-07-26\2026-update\downloads\remaining\001-tiny-critic-rag-empowering-agentic-fallback-with-parameter-efficient-small-langu.pdf,https://arxiv.org/pdf/2603.00846.pdf,success,ok
Agentic memory-augmented retrieval and evidence grounding for medical question-answering tasks,https://pubmed.ncbi.nlm.nih.gov/41713127/,https://www.medrxiv.org/content/medrxiv/early/2025/08/08/2025.08.06.25333160.full.pdf,10.1016/j.ijmedinf.2026.106339,,,https://www.medrxiv.org/content/medrxiv/early/2025/08/08/2025.08.06.25333160.full.pdf,failed,timeout
Multi-Evidence Clinical Reasoning With Retrieval-Augmented Generation for Emergency Triage: Retrospective Evaluation Study,https://medinform.jmir.org/2026/1/e82026/,https://medinform.jmir.org/2026/1/e82026/PDF,10.2196/82026,,,https://medinform.jmir.org/2026/1/e82026/PDF,failed,timeout
MedRAGChecker: Claim-Level Verification for Biomedical Retrieval-Augmented Generation,https://arxiv.org/abs/2601.06519,https://arxiv.org/pdf/2601.06519.pdf,10.48550/arXiv.2601.06519,2601.06519,,https://arxiv.org/pdf/2601.06519.pdf,failed,URL error: _ssl.c:993: The handshake operation timed out
Web Search Is Not Enough: LLMs Fail to Account for Paper Retraction Status,https://openreview.net/forum?id=yvivK8FdVI,https://openreview.net/pdf?id=yvivK8FdVI,,,,https://openreview.net/pdf?id=yvivK8FdVI,failed,HTTP 403
