title,url,pdf_url,doi,arxiv_id,saved_path,download_url,status,message
PhysicianBench: Evaluating LLM Agents in Real-World EHR Environments,https://arxiv.org/abs/2605.02240,https://arxiv.org/pdf/2605.02240.pdf,10.48550/arXiv.2605.02240,2605.02240,research\project-audit-2026-08-02\downloads\papers\001-physicianbench-evaluating-llm-agents-in-real-world-ehr-environments.pdf,https://arxiv.org/pdf/2605.02240.pdf,success,ok
Reinforcement Learning for Tool-Calling Agents in Fast Healthcare Interoperability Resources (FHIR),https://arxiv.org/abs/2605.14126,https://arxiv.org/pdf/2605.14126.pdf,10.48550/arXiv.2605.14126,2605.14126,research\project-audit-2026-08-02\downloads\papers\002-reinforcement-learning-for-tool-calling-agents-in-fast-healthcare-interoperabili.pdf,https://arxiv.org/pdf/2605.14126.pdf,success,ok
MedMCP-Calc: Benchmarking LLMs for Realistic Medical Calculator Scenarios via MCP Integration,https://arxiv.org/abs/2601.23049,https://arxiv.org/pdf/2601.23049.pdf,10.48550/arXiv.2601.23049,2601.23049,research\project-audit-2026-08-02\downloads\papers\003-medmcp-calc-benchmarking-llms-for-realistic-medical-calculator-scenarios-via-mcp.pdf,https://arxiv.org/pdf/2601.23049.pdf,success,ok
LabSage: Structural-Semantic Decoupling for Enhanced Retrieval-Augmented Generation in Clinical Laboratories,https://pubmed.ncbi.nlm.nih.gov/42317863/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13274270/pdf/,,,research\project-audit-2026-08-02\downloads\papers\004-labsage-structural-semantic-decoupling-for-enhanced-retrieval-augmented-generati.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC13274270/pdf/,success,ok
